tetra,vertex,x,y,z
1,1,0.294886,-0.34459,0.48746
1,2,-0.382278,0.244056,-0.484623
1,3,-0.382484,-0.243732,0.649231
1,4,0.290957,-0.347914,-0.484623
2,1,-0.382278,0.244056,-0.484623
2,2,-0.16718,0.421605,0.649231
2,3,-0.382484,-0.243732,0.649231
2,4,0.408839,-0.196342,0.0762497
3,1,0.435549,-0.126477,0.501962
3,2,-0.192092,0.410853,0.501962
3,3,-0.32849,0.31272,-0.484622
3,4,0.35961,-0.27637,-0.484623
4,1,-0.32849,0.31272,-0.484623
4,2,0.435549,-0.126477,0.501962
4,3,-0.192092,0.410853,0.501962
4,4,0.35961,-0.27637,-0.484623
5,1,-0.32849,0.31272,-0.484623
5,2,0.435549,-0.126477,0.501962
5,3,-0.192092,0.410853,0.501962
5,4,0.35961,-0.27637,-0.484623
6,1,0.435549,-0.126477,0.501962
6,2,-0.32849,0.31272,-0.484623
6,3,0.35961,-0.27637,-0.484623
6,4,-0.192092,0.410853,0.501962
7,1,-0.32849,0.31272,-0.484623
7,2,0.435549,-0.126477,0.501962
7,3,-0.192092,0.410853,0.501962
7,4,0.35961,-0.27637,-0.484623
8,1,-0.192092,0.410853,0.501962
8,2,0.35961,-0.27637,-0.484623
8,3,0.435549,-0.126477,0.501962
8,4,-0.32849,0.31272,-0.484623
9,1,-0.32849,0.31272,-0.484623
9,2,-0.192092,0.410853,0.501962
9,3,0.435549,-0.126477,0.501962
9,4,0.35961,-0.27637,-0.484623
10,1,-0.318109,0.322864,-0.483395
10,2,-0.134867,0.432801,0.643068
10,3,0.450442,0.0509611,-0.479991
10,4,0.438924,-0.113316,0.509724
