A,B,p_raw,r_rank_biserial,p_holm
cube | volume,sphere | volume & surface,7.63847514597468e-39,-0.9846833881578947,2.7498510525508848e-37
cube | volume,cylinder | volume & surface,2.3860875896972597e-23,-0.6385898109243697,8.351306563940409e-22
sphere | volume,sphere | volume & surface,1.37070875525031e-22,-0.9657477025898078,4.6604097678510536e-21
cube | surface,sphere | volume & surface,5.7788094993339835e-21,-0.9158692185007975,1.9070071347802144e-19
cube | volume,cylinder | volume,2.168075799658221e-18,-0.6542467948717949,6.937842558906308e-17
cube | volume & surface,sphere | volume & surface,4.0587107014826365e-18,-0.9053643724696356,1.2582003174596174e-16
cylinder | volume,sphere | volume & surface,4.861428585099512e-16,-0.7577597840755737,1.4584285755298538e-14
cube | surface,cylinder | volume & surface,1.7592889631502303e-12,-0.6266870384517442,5.1019379931356675e-11
cube | volume,sphere | surface,1.1876446407457395e-09,-0.44626524390243905,3.325404994088071e-08
sphere | surface,sphere | volume & surface,1.7198826063624372e-09,-0.5555198973042361,4.64368303717858e-08
cylinder | surface,sphere | volume & surface,1.1364653923089822e-08,-0.7530364372469636,2.9548100200033535e-07
cube | surface,cylinder | volume,1.8684377701908944e-08,-0.5450660450660452,4.6710944254772363e-07
cube | volume,sphere | volume,2.599004322404357e-08,-0.4527529761904763,6.237610373770457e-07
cylinder | volume & surface,sphere | volume,4.186129370088816e-07,0.45658263305322133,9.628097551204277e-06
cylinder | volume & surface,sphere | volume & surface,1.0479619495841784e-06,-0.4150818222025652,2.3055162890851925e-05
cube | volume & surface,cylinder | volume & surface,3.230272533649124e-06,-0.4482870071105365,6.78357232066316e-05
cube | surface,sphere | surface,1.539811721408419e-05,-0.4142645971914265,0.0003079623442816838
cylinder | volume,sphere | volume,5.317759092694895e-05,0.39682539682539686,0.00101037422761203
cube | surface,sphere | volume,0.0008858118235749135,-0.33958633958633966,0.015944612824348444
cylinder | surface,cylinder | volume & surface,0.001433188109690029,-0.40012928248222357,0.024364197864730493
cube | volume,cube | volume & surface,0.0014840384255638567,-0.27959735576923084,0.023744614809021708
cube | surface,cube | volume & surface,0.003415827125582105,-0.3149766899766899,0.05123740688373157
cylinder | volume,cylinder | volume & surface,0.003492451639874145,-0.24639086403792287,0.048894322958238035
sphere | surface,sphere | volume,0.01038165595391878,0.2489353464963221,0.13496152740094414
cube | volume & surface,cylinder | volume,0.022123327560485226,-0.23767258382642997,0.2654799307258227
cylinder | volume & surface,sphere | surface,0.02313135241080321,0.18876819020291047,0.2544448765188353
cube | surface,cylinder | surface,0.030447369710616578,-0.2913752913752914,0.3044736971061658
cylinder | surface,cylinder | volume,0.03933639153413217,-0.2712031558185404,0.3540275238071895
cube | volume,cylinder | surface,0.04769047754643085,-0.23587740384615374,0.3815238203714468
cube | volume & surface,sphere | surface,0.05428550834967143,-0.197936210131332,0.3799985584477
cylinder | surface,sphere | surface,0.13591075337056954,-0.19512195121951215,0.8154645202234172
cube | surface,cube | volume,0.23579578019769365,-0.09469696969696972,1.0
cube | volume & surface,sphere | volume,0.45314061683639684,0.08180708180708185,1.0
cylinder | surface,sphere | volume,0.8674403231030585,-0.023199023199023117,1.0
cylinder | volume,sphere | surface,0.9442078799869362,0.0065666041275797005,1.0
cube | volume & surface,cylinder | surface,0.9619568338665999,-0.007396449704142105,0.9619568338665999
